disease,sex,dproj,yll,yld,daly
IHD,F,4.5210043451,282.7419504539,36.3066341792,319.0483742815
IHD,F,13.3643950646,636.6086422929,54.0889545178,690.6995334264
IHD,F,27.4141437223,929.4117609527,77.6854037358,1007.0964007041
IHD,F,29.812881298,688.9991245126,61.459622853,750.4581239163
IHD,F,37.3517708216,541.5525653831,45.3360106616,586.8883233511
IHD,F,133.3012738497,729.9044284412,65.298545615,795.2034076273
RespiratoryDisease,M,12.4290413684,1058.8960175094,436.7507231719,1495.6474855962
RespiratoryDisease,M,3.4187638657,259.4652239129,3811.2098081322,4070.6730338318
RespiratoryDisease,M,12.60853452,793.211594311,4878.1321828618,5671.343535212
RespiratoryDisease,M,26.0434365362,1231.3614554289,4110.2217474654,5341.5827069967
RespiratoryDisease,M,87.0399063183,2880.0309462645,3337.5568413569,6217.585333745
RespiratoryDisease,M,120.2795555816,2753.472463347,1428.5271324057,4182.0033712057
RespiratoryDisease,M,226.852039302,3298.2530572815,1070.0680009603,4368.3165947585
RespiratoryDisease,M,681.2414714992,4336.2217421297,1170.2728561001,5506.4998962834
RespiratoryDisease,F,9.2091000352,783.9161447513,384.1399818134,1168.0558350882
RespiratoryDisease,F,2.7388821829,208.0298130706,3675.1049463206,3883.1355263758
RespiratoryDisease,F,9.4353529309,593.6193887498,4632.2583506509,5225.8784700716
RespiratoryDisease,F,17.476516623,824.0002480639,2872.6228131426,3696.6236039749
RespiratoryDisease,F,66.1366217301,2193.8947391831,2964.5294778911,5158.4241337488
RespiratoryDisease,F,86.6972295218,1982.0198147697,1256.9774445873,3238.9907726977
