disease,sex,ageClass,burdenType,value
Depression,F,ageClass4,daly,468239.938
Depression,F,ageClass5,daly,510063.4104
Depression,F,ageClass6,daly,193974.9301
Depression,F,ageClass7,daly,106012.5743
Depression,F,ageClass8,daly,92457.41071
CVD,M,ageClass1,daly,55.9606171
CVD,M,ageClass2,daly,87164.61477
CVD,M,ageClass3,daly,258703.9002
CVD,M,ageClass4,daly,288361.9593
CVD,M,ageClass5,daly,291442.8825
CVD,M,ageClass6,daly,102534.561
CVD,M,ageClass7,daly,48457.02292
CVD,M,ageClass8,daly,29506.46872
CVD,F,ageClass1,daly,92.71428918
CVD,F,ageClass2,daly,139231.9076
CVD,F,ageClass3,daly,401648.6585
CVD,F,ageClass4,daly,468239.938
CVD,F,ageClass5,daly,510063.4104
CVD,F,ageClass6,daly,193974.9301
CVD,F,ageClass7,daly,106012.5743
CVD,F,ageClass8,daly,92457.41071
RTIs,M,ageClass1,daly,37840.446
RTIs,M,ageClass2,daly,59830.46406
RTIs,M,ageClass3,daly,681136.3789
RTIs,M,ageClass4,daly,353413.8794
RTIs,M,ageClass5,daly,287315.6962
RTIs,M,ageClass6,daly,88439.57428
RTIs,M,ageClass7,daly,44319.12269
RTIs,M,ageClass8,daly,20704.16039
RTIs,F,ageClass1,daly,29077.52741
RTIs,F,ageClass2,daly,38594.66952
RTIs,F,ageClass3,daly,239741.7387
RTIs,F,ageClass4,daly,140133.1826
RTIs,F,ageClass5,daly,125828.173
RTIs,F,ageClass6,daly,49108.81151
RTIs,F,ageClass7,daly,29852.3031
RTIs,F,ageClass8,daly,15942.95826
